CountryIsoCode,Country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
ARM,Armenia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2015,13.132,
ARM,Armenia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2016,13.362,
ARM,Armenia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2017,13.592,
ARM,Armenia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2018,13.821,
ARM,Armenia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,13.999,
ARM,Armenia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,14.078,
ARM,Armenia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2021,14.43,
ARM,Armenia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2022,14.406,
ARM,Armenia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2015,11966.456,
ARM,Armenia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2016,11854.26,
ARM,Armenia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2017,12949.75,
ARM,Armenia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2018,13459.018,
ARM,Armenia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,14521.838,
ARM,Armenia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2020,13181.649,
ARM,Armenia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2021,13813.881,
ARM,Armenia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2022,15388.3,
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2015,0.769,
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2016,0.773,
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2017,0.775,
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2018,0.781,
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.789,
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.769,
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2021,0.774,
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2022,0.786,
ARM,Armenia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2015,74.436,
ARM,Armenia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2016,74.664,
ARM,Armenia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2017,74.906,
ARM,Armenia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2018,75.064,
ARM,Armenia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,75.439,
ARM,Armenia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,72.173,
ARM,Armenia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2021,72.043,
ARM,Armenia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2022,73.372,
ARM,Armenia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2015,11.572,
ARM,Armenia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2016,11.69,
ARM,Armenia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2017,11.188,
ARM,Armenia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2018,11.235,
ARM,Armenia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,11.283,
ARM,Armenia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,11.33,
ARM,Armenia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2021,11.33,
ARM,Armenia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2022,11.33,
ARM,Armenia,HDI,Human Development Index,,hdi_rank,HDI Rank,2022,76,
ATG,Antigua and Barbuda,HDI,Human Development Index,,hdi_rank,HDI Rank,2022,54,
ATG,Antigua and Barbuda,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2015,10.423,
ATG,Antigua and Barbuda,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2016,10.47,
ATG,Antigua and Barbuda,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2017,10.518,
ATG,Antigua and Barbuda,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2018,10.527,
ATG,Antigua and Barbuda,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,10.537,
